id,re_gdppc2001,re_nonagri2001,re_agri2001,re_gdppc2002,re_nonagri2002,re_agri2002,re_gdppc2003,re_nonagri2003,re_agri2003,re_gdppc2004,re_nonagri2004,re_agri2004,re_gdppc2005,re_nonagri2005,re_agri2005,re_gdppc2006,re_nonagri2006,re_agri2006,re_gdppc2007,re_nonagri2007,re_agri2007,re_gdppc2008,re_nonagri2008,re_agri2008,re_gdppc2009,re_nonagri2009,re_agri2009,re_gdppc2010,re_nonagri2010,re_agri2010,re_gdppc2011,re_nonagri2011,re_agri2011,re_gdppc2012,re_nonagri2012,re_agri2012,re_gdppc2013,re_nonagri2013,re_agri2013,re_gdppc2014,re_nonagri2014,re_agri2014,re_gdppc2015,re_nonagri2015,re_agri2015,re_gdppc2016,re_nonagri2016,re_agri2016,re_gdppc2017,re_nonagri2017,re_agri2017,re_gdppc2018,re_nonagri2018,re_agri2018,re_gdppc2019,re_nonagri2019,re_agri2019,re_gdppc2020,re_nonagri2020,re_agri2020,city,province_id,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted
130900,.99652749,1.159039,1.2303908,.99601966,1.1538993,1.2264297,.99553031,1.1490103,1.2226169,.9950698,1.1443853,1.2189406,.99463981,1.140027,1.215387,.99424243,1.1359344,1.2119617,.99387991,1.1321062,1.2086755,.99355638,1.1285442,1.2055396,.99327743,1.1252507,1.2025596,.99304599,1.1222252,1.1997421,.99287152,1.1194767,1.1970954,.99275875,1.1170024,1.1946249,.99271524,1.1147981,1.1923288,.99273944,1.1128423,1.190197,.99282318,1.1111006,1.1882108,.99295336,1.1095297,1.1863432,.99311519,1.1080861,1.1845667,.99329394,1.1067303,1.1828579,.99348098,1.1054337,1.1811979,.99366951,1.1041749,1.1795756,沧州市,130000,3,2,6
131000,1.0332935,1.0977479,1.1339833,1.0325902,1.0943609,1.131817,1.0319093,1.0911433,1.1297315,1.0312591,1.0881056,1.1277173,1.0306318,1.0852362,1.1257609,1.0300114,1.0825053,1.1238682,1.0293773,1.0798783,1.1220486,1.028717,1.0773329,1.1203148,1.0280287,1.0748625,1.1186682,1.0273188,1.0724739,1.1171135,1.0266011,1.0701853,1.1156595,1.0258945,1.0680195,1.1143088,1.0252198,1.065998,1.1130632,1.0245962,1.0641388,1.1119201,1.0240282,1.0624357,1.1108704,1.02351,1.0608683,1.1098895,1.0230324,1.0594107,1.1089553,1.0225862,1.0580395,1.1080511,1.0221637,1.0567337,1.1071668,1.0217549,1.0554695,1.1063024,廊坊市,130000,2,3,12
131100,.98514789,.99115556,1.1070076,.98499423,.99025822,1.1053876,.98483616,.98939431,1.103827,.98466682,.98855537,1.1023184,.9844743,.98772436,1.1008558,.98424608,.98687869,1.0994519,.98397595,.98600554,1.0981148,.98366511,.98510402,1.0968499,.98332107,.98418337,1.0956497,.98294824,.98324978,1.0945085,.98256475,.98233068,1.0934228,.98218161,.98144156,1.092389,.98181438,.98060358,1.091404,.98147762,.97983569,1.0904634,.98117447,.97913939,1.089564,.9809047,.97851092,1.0887018,.98066175,.9779374,1.0878719,.98043722,.9774043,1.0870724,.98022598,.97690064,1.0862987,.98002118,.97641361,1.085548,衡水市,130000,3,3,14
140100,1.0704182,1.1632016,.7078352,1.0685357,1.1572447,.71398938,1.0667081,1.1515785,.71990544,1.0649446,1.146211,.72558188,1.0632455,1.1411381,.73101246,1.0615965,1.1363293,.73619652,1.0599889,1.1317635,.7411297,1.0584257,1.1274365,.74579996,1.0569056,1.1233379,.75019127,1.0554327,1.1194667,.75429374,1.0540187,1.1158341,.75809902,1.0526702,1.1124411,.76160288,1.0513901,1.1092802,.76481247,1.0501922,1.1063573,.76775348,1.0490758,1.1036539,.77046466,1.0480324,1.1011406,.77299124,1.047049,1.0987824,.77537549,1.046111,1.0965449,.77766085,1.0452058,1.0943972,.77987701,1.0443199,1.0923089,.78204435,太原市,140000,2,2,37
140200,.98730332,.98686677,.76360297,.98679477,.98548609,.76856697,.98629963,.98417604,.77333325,.98581833,.98293746,.77789789,.98534256,.98175812,.78225332,.98485214,.98060215,.78639996,.98432654,.97943413,.79034233,.98374915,.97822601,.79408342,.98310238,.97695017,.79761726,.98236197,.97557229,.80094433,.98152429,.97408986,.80406111,.98059583,.97251368,.80696613,.97959256,.97086662,.8096627,.97855228,.96920127,.81216753,.97750264,.96755368,.81450993,.97646266,.96594667,.81671953,.97544146,.9643892,.81882447,.97444314,.96288383,.8208552,.97346807,.96142703,.82283258,.97250974,.96000677,.82476747,大同市,140000,3,4,33
140300,1.0162698,.88196343,.32132399,1.016268,.88434285,.33455619,1.0162647,.88661671,.34728208,1.0162492,.88877255,.35949782,1.0161928,.89076698,.37118509,1.0160673,.89255166,.38233647,1.0158476,.89408386,.39294347,1.0155225,.89534414,.40298855,1.0150839,.89631939,.41244623,1.0145162,.89699066,.42130083,1.0138255,.89737254,.4295373,1.013027,.89749503,.43714935,1.0121351,.89739031,.44415522,1.0111837,.89712036,.45060879,1.0101986,.89673638,.45658678,1.0092003,.8962819,.46217436,1.0082022,.89578933,.46746066,1.0072105,.89527899,.47253796,1.0062286,.8947652,.47747058,1.0052568,.89425492,.4823001,阳泉市,140000,3,5,45
140400,1.000982,1.0121228,.81422824,1.0007578,1.0108969,.81800586,1.0005244,1.0097108,.82163554,1.0002675,1.008544,.82510877,.99995995,1.0073587,.82841831,.99958009,1.0061194,.83156329,.9991188,1.00481,.83454174,.99858296,1.0034388,.83735383,.99797678,1.0020101,.83999419,.99731386,1.0005436,.84246099,.99661785,.99907422,.84475136,.99590921,.99763024,.8468644,.99519652,.99622256,.84880167,.99449253,.99486673,.85057598,.99380559,.99357063,.85220838,.99314457,.99234164,.85372341,.99251413,.99118125,.85514653,.99190998,.99007893,.85650676,.99132431,.98901945,.85782486,.99075049,.98798901,.85911691,长治市,140000,3,3,32
140500,1.0176581,.97236788,.70451343,1.0172724,.97214985,.71033889,1.016901,.97195542,.71593511,1.0165377,.97177541,.72129101,1.0161548,.97156739,.72639638,1.015729,.97129077,.73124903,1.0152491,.97092336,.73584706,1.0147138,.9704597,.74018902,1.0141164,.96988732,.74426949,1.0134676,.96922225,.74808592,1.012782,.96848762,.7516349,1.0120716,.96770269,.75491822,1.0113448,.96688199,.75794363,1.0106122,.96604526,.7607345,1.0098844,.96521014,.76332325,1.0091715,.96439415,.76574516,1.0084821,.96361107,.76803768,1.0078183,.96286571,.77024144,1.0071747,.96215135,.77238369,1.0065448,.96145862,.77448368,晋城市,140000,3,3,
140600,1.0183935,.90685594,.75923848,1.0189652,.90962189,.76438951,1.0195223,.91226614,.76933295,1.0200664,.91479617,.77406472,1.0205837,.91719174,.77858132,1.0210609,.91942763,.78288478,1.0214792,.92147118,.78697747,1.0218157,.92328608,.79085964,1.0220391,.92482811,.79452527,1.0221134,.92605048,.79797268,1.0220201,.92693543,.80119801,1.0217451,.92747402,.80419934,1.0212821,.92767143,.80698109,1.0206565,.92757839,.80956125,1.0199027,.9272579,.81197059,1.0190588,.92677552,.81424081,1.0181583,.92618942,.81640059,1.0172319,.92555124,.81848168,1.016302,.92489845,.82050657,1.0153793,.92425007,.82248706,朔州市,140000,2,4,33
140700,.98024487,.96400064,.91066331,.98053765,.96432126,.91280276,.98081028,.96461272,.91485596,.98105389,.96486479,.91681594,.98124868,.96504998,.91867757,.98138535,.96515226,.92044044,.98146302,.96516734,.92210388,.98149312,.96511108,.92366779,.98147047,.96497458,.92512703,.98138809,.96474999,.92648095,.98125315,.96445078,.92772806,.98107398,.96409172,.92886633,.98085278,.96367913,.92989457,.98060149,.9632321,.93082058,.98032898,.96276516,.9316572,.98004502,.96229184,.93242115,.97975898,.96182466,.93312746,.97947615,.96137047,.93379533,.97919983,.96093178,.93443769,.97892815,.96050429,.93506622,晋中市,140000,3,3,
140800,.95853215,1.001525,1.0731226,.95795327,.99921185,1.072193,.95737565,.99698973,1.07129,.95679748,.99485582,1.0704037,.95620412,.99278921,1.0695323,.95558631,.99077195,1.0686814,.95495248,.98881233,1.0678511,.95431691,.98692757,1.0670507,.95368749,.9851253,1.066288,.95306718,.9834078,1.0655692,.95245898,.98177761,1.0648988,.95187825,.98025393,1.0642804,.95133561,.97884709,1.0637115,.95083308,.97755367,1.0631918,.95037138,.97636729,1.062716,.9499498,.97527814,1.0622749,.94956625,.97427499,1.061861,.94921291,.97333992,1.0614663,.94887877,.97245097,1.0610832,.94855458,.97158998,1.0607105,运城市,140000,4,3,17
140900,.92831731,.86358815,.80342096,.92904425,.86605334,.80767119,.92975575,.86841416,.81175309,.93045855,.87068528,.81566286,.93115008,.87286544,.81939536,.9318369,.87496269,.82294995,.93252373,.87698203,.82632637,.93321514,.87893027,.82951933,.93390214,.88079393,.83251917,.93456107,.88253975,.83532327,.93517303,.88414425,.83792734,.93571478,.88557869,.84033126,.93616062,.88681412,.84254146,.93650514,.88785267,.8445757,.93675566,.88871533,.84646058,.93692821,.88943428,.84822476,.93704081,.89004362,.84989482,.93711394,.89057881,.85149932,.93716758,.89107263,.8530575,.93721324,.8915444,.8545804,忻州市,140000,3,4,32
141000,.98940194,1.0343494,.89496219,.98753077,1.0298666,.89763266,.98570061,1.0255853,.90019161,.98390985,1.0214993,.90262771,.98214149,1.0175799,.90493315,.98038822,1.0138081,.90710765,.97866517,1.0101985,.90914613,.97700238,1.0067867,.91104966,.97540939,1.0035782,.91281617,.97388613,1.0005659,.91444689,.97244185,.99775785,.91594434,.97108507,.99515939,.91731328,.96981275,.99275821,.91855747,.96861821,.99053615,.91968805,.9674961,.98847616,.92072129,.96644062,.98655987,.92167759,.96544421,.98476732,.92257452,.96449476,.98307317,.92343199,.96357661,.98144829,.92426282,.96267718,.97986853,.92507857,临汾市,140000,4,3,28
141100,.96690726,.98307514,.78163105,.9671796,.98270482,.78651029,.96742702,.98232895,.79119813,.96762484,.98191297,.79569203,.96772945,.98139548,.79998839,.96771985,.98074496,.80408978,.96759331,.97995842,.80799448,.96735716,.97904831,.81169522,.96700716,.97800982,.81517965,.96652877,.97682559,.81843847,.96591294,.97548699,.821464,.96516347,.97400296,.82425511,.96428567,.97238278,.82681632,.96330309,.97065985,.82916558,.96224737,.96887654,.83133298,.96115053,.96707284,.83335555,.96003568,.96527642,.83526552,.95891768,.96350306,.83709681,.95780808,.96176362,.83887243,.95671111,.96005905,.84060866,吕梁市,140000,4,4,32
150100,1.0872355,1.1013008,.91151959,1.0861957,1.0983766,.91365147,1.0851858,1.0955986,.91568464,1.084206,1.0929655,.91760939,1.0832424,1.0904545,.91942543,1.082262,1.0880102,.92114407,1.0812258,1.0855691,.9227758,1.0801109,1.0830948,.92433196,1.0789092,1.0805721,.92581463,1.0776209,1.0780001,.92722863,1.0762591,1.0753983,.92857444,1.0748376,1.0727843,.92984617,1.0733744,1.070181,.93103337,1.0719005,1.0676272,.93213415,1.0704339,1.0651412,.93315893,1.0689826,1.0627272,.93412179,1.0675451,1.060376,.93503296,1.0661188,1.0580776,.93590766,1.0647044,1.0558267,.93675542,1.0633035,1.0536184,.93758172,呼和浩特市,150000,2,3,27
150200,1.1199321,1.1285944,.86564773,1.1179391,1.1242473,.86830056,1.115988,1.1200926,.87084317,1.11406,1.1160986,.87327433,1.1121234,1.1122142,.87560093,1.1101315,1.1083627,.87784004,1.1080335,1.1044627,.87999684,1.1057944,1.1004599,.88207078,1.1033975,1.0963261,.88405991,1.1008431,1.0920613,.88596493,1.0981525,1.0876951,.88778132,1.0953571,1.0832696,.8894971,1.0925021,1.078844,.89110285,1.089641,1.0744864,.89260954,1.0868027,1.0702301,.89403284,1.084,1.0660843,.89539242,1.0812355,1.0620446,.89670008,1.0785103,1.0581063,.89797246,1.0758239,1.0542618,.89921433,1.0731727,1.0504991,.90042835,包头市,150000,2,3,29
