id,re_trend_lg_gdp_predicted2001,re_trend_lg_gdp_predicted2002,re_trend_lg_gdp_predicted2003,re_trend_lg_gdp_predicted2004,re_trend_lg_gdp_predicted2005,re_trend_lg_gdp_predicted2006,re_trend_lg_gdp_predicted2007,re_trend_lg_gdp_predicted2008,re_trend_lg_gdp_predicted2009,re_trend_lg_gdp_predicted2010,re_trend_lg_gdp_predicted2011,re_trend_lg_gdp_predicted2012,re_trend_lg_gdp_predicted2013,re_trend_lg_gdp_predicted2014,re_trend_lg_gdp_predicted2015,re_trend_lg_gdp_predicted2016,re_trend_lg_gdp_predicted2017,re_trend_lg_gdp_predicted2018,re_trend_lg_gdp_predicted2019,re_trend_lg_gdp_predicted2020,county,finalclub_trend_lg_gdp_predicted
150625,1.0459996,1.0427742,1.0396221,1.0365767,1.033663,1.0308847,1.0282494,1.0257585,1.0233983,1.0211449,1.019001,1.0169924,1.0151691,1.0135928,1.0122519,1.0110855,1.0100318,1.0090394,1.0080789,1.0071352,杭锦旗,2
150626,1.103186,1.1049821,1.1068016,1.1086942,1.1106808,1.1127614,1.1149549,1.1172612,1.1196443,1.122072,1.1245543,1.1271056,1.1297321,1.1324046,1.135046,1.1375968,1.1400018,1.1422576,1.144405,1.1464925,乌审旗,1
150627,1.0990555,1.1087604,1.118324,1.1276348,1.1364971,1.1446744,1.1519195,1.1580184,1.1627564,1.1659791,1.167624,1.16774,1.1664697,1.1641026,1.1609244,1.1571993,1.1531377,1.1489043,1.1446191,1.1403484,伊金霍洛旗,1
150702,1.0791944,1.0760522,1.0728867,1.0696741,1.0664009,1.0629359,1.0590706,1.054651,1.0495855,1.0438364,1.0374615,1.0305697,1.0233432,1.0160869,1.0089759,1.0021087,0.9954896,0.98909527,0.98287773,0.97675532,海拉尔区,2
150703,1.1377926,1.1366231,1.1354002,1.1339881,1.13217,1.1297503,1.1265596,1.1223618,1.1169751,1.1103103,1.1024082,1.0933992,1.0834826,1.0729754,1.0621002,1.0510324,1.0398909,1.0287701,1.0177311,1.0068096,扎赉诺尔区,2
150721,1.0017921,0.9984141,0.99504614,0.99165082,0.98813409,0.98438799,0.98026961,0.97564983,0.97043896,0.96457076,0.95810765,0.9511894,0.94400311,0.93675035,0.92956644,0.9225291,0.91565901,0.90894359,0.90235078,0.89585066,阿荣旗,4
150722,0.98815417,0.98385286,0.97957009,0.97526169,0.97085881,0.96630901,0.96158385,0.95666111,0.95148885,0.9460234,0.94029289,0.93439209,0.92844057,0.92257357,0.91686231,0.91132432,0.90593582,0.90066004,0.89545655,0.89031422,莫力达瓦达斡尔族自治旗,3
150723,0.9527806,0.9478963,0.94307721,0.93832362,0.93361038,0.92888039,0.92407256,0.91912353,0.91397482,0.90857422,0.90292448,0.89707094,0.8910858,0.88508213,0.87911898,0.87322307,0.86740261,0.86166292,0.85600227,0.85041273,鄂伦春自治旗,4
150724,1.0633953,1.0595595,1.0557178,1.0518454,1.0479429,1.043962,1.0398018,1.0353705,1.030555,1.0252613,1.0194528,1.013137,1.0063747,0.99929708,0.99201149,0.98461783,0.97717863,0.96975946,0.96239513,0.95510763,鄂温克族自治旗,3
150725,1.0818357,1.0817976,1.0817819,1.0817901,1.0817816,1.081638,1.0812047,1.0803263,1.0788504,1.076651,1.0736706,1.0699004,1.0653979,1.0603553,1.0549393,1.0493056,1.0435659,1.0378158,1.0321025,1.0264473,陈巴尔虎旗,2
150726,1.0721712,1.0678556,1.0636047,1.0594101,1.0552452,1.0510404,1.0467153,1.0421807,1.0373433,1.0321213,1.0264789,1.0204237,1.0140461,1.0074774,1.0008099,0.99410647,0.98741102,0.98076242,0.97417951,0.96767259,新巴尔虎左旗,2
150727,1.1545033,1.1495072,1.1445597,1.1396092,1.1345682,1.1293567,1.1239418,1.1182917,1.1123697,1.1061454,1.0996289,1.0928551,1.0859029,1.0788825,1.0718498,1.0648335,1.0578521,1.0509273,1.0440704,1.0372914,新巴尔虎右旗,2
150781,1.0566906,1.0587338,1.0606219,1.0622073,1.0633347,1.0638503,1.0635575,1.0622193,1.0596989,1.0559572,1.0510361,1.0450374,1.038146,1.0306262,1.0226876,1.0144897,1.0061437,0.99775738,0.98941565,0.98116165,满洲里市,2
150782,1.0164117,1.0126156,1.0088598,1.0051454,1.001438,0.99765712,0.99370831,0.98948485,0.98487848,0.97982013,0.97433382,0.96847498,0.96233457,0.95603204,0.94963366,0.94317961,0.93668151,0.93017393,0.92368925,0.91725773,牙克石市,3
150783,0.99519378,0.98986924,0.9846012,0.97938728,0.97424603,0.96916223,0.96411711,0.95910406,0.95410484,0.94908941,0.9440468,0.93898624,0.9339236,0.92892426,0.92403215,0.91926718,0.91463137,0.91010898,0.90567511,0.90130037,扎兰屯市,3
150784,1.0437474,1.0382997,1.0329067,1.0275584,1.0222179,1.0168273,1.0113224,1.0056202,0.99962413,0.99325269,0.98649389,0.97939914,0.97205669,0.96463263,0.95722336,0.94988018,0.94262832,0.93548298,0.92844272,0.92149591,额尔古纳市,3
150785,1.0116036,1.0042983,0.99706882,0.98992348,0.9828366,0.97576112,0.96864873,0.96144617,0.9540838,0.94650954,0.93871891,0.93073219,0.92263341,0.91457039,0.90661895,0.89880842,0.89114374,0.88362283,0.87623012,0.86894178,根河市,4
150802,1.0117029,1.0109866,1.0102797,1.0095676,1.0087817,1.0077788,1.0063471,1.0042936,1.0014451,0.99769235,0.99300575,0.98740149,0.98095226,0.97379237,0.96608281,0.95804942,0.94985926,0.9416402,0.93348628,0.92543364,临河区,3
150821,1.0224035,1.0159031,1.0094422,1.0030681,0.99676853,0.99052119,0.98430252,0.97807121,0.9718014,0.96544868,0.95902693,0.95258886,0.946226,0.9400056,0.93394548,0.9280386,0.9222551,0.91656512,0.91095245,0.90540439,五原县,3
150822,1.0162686,1.0138406,1.0114338,1.0090154,1.0065652,1.0040805,1.0015657,0.99903429,0.99645668,0.99378514,0.99103469,0.9882344,0.98543537,0.98268145,0.97997683,0.97730565,0.97465146,0.97202134,0.96942174,0.96684873,磴口县,2
150823,0.99923795,0.99832231,0.99743122,0.99653095,0.99556243,0.99447399,0.99322599,0.99177188,0.99006426,0.98802739,0.98564994,0.98289186,0.97977567,0.9763521,0.97267413,0.96883929,0.96492946,0.96099681,0.95708197,0.95320213,乌拉特前旗,2
150824,1.0424417,1.0385704,1.0347626,1.03102,1.0273138,1.0235827,1.0197521,1.0157968,1.0116888,1.0074316,1.0030402,0.99854881,0.994003,0.98945343,0.98493922,0.98047775,0.97606695,0.97170496,0.96739358,0.9631331,乌拉特中旗,2
150825,1.1043737,1.1007178,1.0971193,1.0935626,1.0899971,1.0863224,1.0824401,1.0782619,1.0737207,1.0687792,1.0634395,1.0577449,1.0517629,1.0455986,1.0393322,1.0330294,1.02674,1.0204989,1.0143243,1.0082242,乌拉特后旗,2
150826,1.0240874,1.021386,1.0186656,1.0158623,1.0128795,1.0096862,1.0062138,1.0023183,0.99791962,0.99293214,0.98736703,0.98125875,0.97472388,0.96795201,0.96108776,0.95423275,0.94743609,0.94072264,0.93409795,0.9275561,杭锦后旗,3
150902,1.0084155,1.0092956,1.0101444,1.0108874,1.0114286,1.0116897,1.0116135,1.0111548,1.0102825,1.0089718,1.0072608,1.0052451,1.0030454,1.0008613,0.99885488,0.9971199,0.9956702,0.9944452,0.99334651,0.99229115,集宁区,2
150921,0.93517101,0.93654799,0.9379102,0.93923879,0.94040221,0.94134825,0.94209504,0.9426384,0.94291353,0.94274014,0.94196093,0.94051188,0.93839139,0.93566108,0.93243998,0.92885768,0.92503577,0.92108649,0.9170956,0.913122,卓资县,2
150922,0.91416132,0.91615069,0.91810787,0.91996837,0.92168093,0.92325568,0.92474359,0.92612296,0.92732996,0.92824024,0.92879683,0.92894202,0.9286778,0.92799801,0.92689675,0.92539525,0.92356086,0.92149997,0.91932857,0.91714013,化德县,2
150923,0.91390061,0.91174996,0.90960699,0.90745354,0.90523523,0.90288299,0.9003399,0.89754415,0.89446926,0.89104283,0.88719606,0.88293445,0.87833333,0.87353677,0.86867201,0.86382699,0.85904562,0.85435027,0.84974068,0.84520006,商都县,4
150924,0.87797731,0.88268954,0.88731265,0.89174008,0.89582556,0.89944476,0.90254444,0.90502465,0.90678245,0.9076528,0.90754771,0.90650576,0.90462172,0.90207207,0.8990339,0.89567667,0.89214259,0.88853073,0.88490427,0.88130355,兴和县,3
150925,0.96553344,0.96658695,0.9676019,0.96844506,0.96888494,0.96867996,0.96764278,0.9656502,0.96262223,0.95856279,0.95354205,0.94767731,0.94118744,0.934313,0.92722845,0.92007053,0.91293955,0.90588939,0.89894086,0.89208138,凉城县,3
150926,0.93297279,0.93778187,0.94254023,0.94718558,0.9516449,0.95584255,0.95968407,0.96307856,0.96595567,0.96823442,0.96990943,0.97099835,0.97153598,0.97161478,0.97139364,0.97103912,0.97067571,0.97035968,0.9701038,0.96987534,察哈尔右翼前旗,2
150927,0.93343806,0.93170464,0.92997235,0.92821878,0.92635882,0.92435926,0.92217231,0.91972268,0.91694552,0.91370642,0.90986425,0.90533596,0.90013832,0.89443839,0.88847893,0.88245261,0.87648845,0.87064058,0.86490601,0.85925883,察哈尔右翼中旗,4
150928,0.96003187,0.95975745,0.95948362,0.95919341,0.95883048,0.95835775,0.95777208,0.95705086,0.95615035,0.95499158,0.95351475,0.95169026,0.94952112,0.94709927,0.94450957,0.94185048,0.93918979,0.93655789,0.93396205,0.9314031,察哈尔右翼后旗,2
150929,0.96740901,0.96316969,0.95898223,0.9548685,0.9508341,0.94684035,0.94283444,0.93874949,0.93450707,0.93005234,0.92535698,0.92042798,0.9153387,0.91018158,0.90501231,0.89987129,0.89478678,0.88977504,0.88483763,0.87997031,四子王旗,3
150981,0.99075955,0.99014372,0.98951668,0.98879319,0.98784482,0.98654836,0.98479229,0.98251063,0.97973746,0.97653717,0.97292817,0.9689526,0.96462488,0.9600116,0.95515972,0.95013034,0.94502759,0.93992943,0.93488652,0.92990625,丰镇市,3
152201,0.99536926,0.9946931,0.99403584,0.99342471,0.99286979,0.99240249,0.99201363,0.99163151,0.99118865,0.99060231,0.98983753,0.98886406,0.98770463,0.98643845,0.98511744,0.98377532,0.98242861,0.98109388,0.97978091,0.97848362,乌兰浩特市,2
152202,0.98783129,0.98299056,0.97817296,0.97330463,0.96830308,0.9630962,0.95764023,0.95188773,0.94576818,0.93927616,0.93244189,0.92534107,0.91810179,0.91087288,0.90371919,0.89665675,0.88968414,0.88280356,0.87600923,0.86929935,阿尔山市,4
152221,0.93439639,0.93325692,0.93216538,0.93114674,0.93020976,0.92932189,0.928433,0.92747188,0.92634284,0.92494327,0.92329741,0.92149115,0.91962111,0.91779047,0.91606498,0.91446936,0.91298419,0.91156065,0.91015488,0.90875083,科尔沁右翼前旗,2
152222,0.93373185,0.93057913,0.92748201,0.92443883,0.92142457,0.91838324,0.91526175,0.91198903,0.90849626,0.90472716,0.90069604,0.89647686,0.89217955,0.8879171,0.88374954,0.87970209,0.87578321,0.87198174,0.86827147,0.86462426,科尔沁右翼中旗,3
152223,0.92401886,0.92097151,0.91796243,0.915043,0.91223121,0.90951854,0.90687799,0.90424931,0.90155739,0.89872354,0.89574599,0.8926509,0.8894859,0.88631839,0.88317549,0.88006228,0.87698334,0.87392879,0.87089306,0.86787313,扎赉特旗,3
152224,0.93636602,0.93331903,0.93034363,0.9274922,0.92476517,0.9221251,0.91951412,0.91681802,0.91392457,0.91074359,0.9072814,0.90364599,0.89997202,0.89635646,0.89284784,0.88947737,0.88624811,0.88313717,0.8801223,0.87717181,突泉县,3
152501,1.0745908,1.0736278,1.0726529,1.0716281,1.0704941,1.0691675,1.0675653,1.0655768,1.063053,1.0598422,1.0558851,1.0512069,1.045905,1.0401206,1.0339713,1.0275652,1.0209652,1.0142702,1.0075855,1.0009655,二连浩特市,2
152502,1.0694488,1.0694634,1.0694927,1.0695405,1.0695801,1.0695484,1.0694065,1.0691035,1.0685834,1.0677774,1.0666679,1.065256,1.0636108,1.0618514,1.0599973,1.058075,1.0561115,1.0541315,1.0521536,1.0501955,锡林浩特市,1
152522,1.097471,1.092339,1.0872774,1.0822679,1.0772713,1.0722139,1.0670195,1.0616107,1.0559407,1.0499753,1.0437151,1.0372047,1.0305315,1.0238079,1.0170989,1.0104394,1.0038497,0.99734342,0.99092162,0.98458433,阿巴嘎旗,2
152523,1.1070431,1.1017671,1.0965601,1.0914031,1.086253,1.0810237,1.0756644,1.0701225,1.0643518,1.058318,1.0520115,1.0454621,1.0387585,1.032017,1.0253018,1.018646,1.0120701,1.005591,0.99921274,0.99292642,苏尼特左旗,2
152524,1.0644623,1.0593048,1.0541891,1.0490867,1.0439421,1.0386868,1.0332999,1.0277683,1.0220789,1.0162253,1.0102088,1.0040617,0.99781632,0.99157506,0.98539937,0.97931784,0.9733386,0.96746379,0.96168542,0.95599008,苏尼特右旗,3
152525,1.1134549,1.1091136,1.1048285,1.1005771,1.0963129,1.0919379,1.0873485,1.0824465,1.0771632,1.0714482,1.0653195,1.0588515,1.0521522,1.0453591,1.0385507,1.0317701,1.0250442,1.0183976,1.011843,1.005376,东乌珠穆沁旗,2
152526,1.0780731,1.0771825,1.076315,1.075455,1.0745556,1.0735438,1.0723217,1.0707536,1.0686978,1.0660604,1.0628723,1.059214,1.0551962,1.0510014,1.0467558,1.0425402,1.0383979,1.0343539,1.0304166,1.0265676,西乌珠穆沁旗,2
152527,0.96599442,0.96312433,0.96033031,0.95765066,0.95510399,0.95266747,0.95034534,0.94814211,0.94606888,0.94411641,0.94227451,0.94051975,0.93880904,0.93724358,0.93586779,0.93469286,0.93368977,0.93282098,0.93204337,0.93130767,太仆寺旗,2
152528,1.0831648,1.0818014,1.0804416,1.0790026,1.0773313,1.0752069,1.0724484,1.0688677,1.0642724,1.0585318,1.0517074,1.0439401,1.0354567,1.0265259,1.0173647,1.0081257,0.998905,0.98976344,0.98073095,0.97181439,镶黄旗,2
152529,1.0332694,1.0301827,1.0271007,1.0239345,1.0205741,1.0169059,1.012831,1.0082569,1.0031147,0.99733049,0.99093974,0.98406768,0.97684813,0.96948564,0.96212256,0.95484543,0.94769299,0.94067323,0.93378085,0.92699766,正镶白旗,3
152530,1.0361166,1.0354521,1.0347767,1.0340425,1.0331575,1.0320108,1.0304843,1.0284225,1.0257251,1.0223401,1.01829,1.0136288,1.0084407,1.0028859,0.99711215,0.99122202,0.98527837,0.97932756,0.97340834,0.96755016,正蓝旗,2
152531,0.99893463,1.0005999,1.0023055,1.0040585,1.0058248,1.0074521,1.0087631,1.0095009,1.0093874,1.0081929,1.005846,1.0023457,0.99777049,0.99233973,0.98630595,0.97985893,0.97316003,0.96632534,0.95946389,0.95265049,多伦县,2
152921,1.1262444,1.1243895,1.1225629,1.1207463,1.1189022,1.1169518,1.1147999,1.1123598,1.1095706,1.1063745,1.1027501,1.098735,1.0944076,1.0899092,1.08533,1.0807246,1.0761184,1.0715284,1.0669749,1.0624723,阿拉善左旗,2
152922,1.1280531,1.1224084,1.1168447,1.1113567,1.10592,1.1004647,1.0949224,1.089228,1.0833216,1.0771683,1.0707777,1.0642052,1.0575171,1.0508066,1.0441231,1.0374891,1.0309187,1.0244267,1.0180168,1.0116888,阿拉善右旗,2
152923,1.1618859,1.1566851,1.1515588,1.1464995,1.1414802,1.1364542,1.1313858,1.1262462,1.1210165,1.1157001,1.1103427,1.1050125,1.0997789,1.0947208,1.0898598,1.0851735,1.0806224,1.0761704,1.0717824,1.0674503,额济纳旗,2
210102,1.1558089,1.1510279,1.1463388,1.1417603,1.1372819,1.1328187,1.1282914,1.1236416,1.1188422,1.1138971,1.1088293,1.1036415,1.0983547,1.0930442,1.0877481,1.0824792,1.0772455,1.072062,1.0669366,1.0618755,和平区,2
210103,1.1693145,1.1638328,1.1584554,1.1532011,1.1480474,1.1428642,1.1375493,1.132033,1.1262879,1.120335,1.1142365,1.1080292,1.1017683,1.0955521,1.0894222,1.0833876,1.0774434,1.0715852,1.065802,1.0600921,沈河区,2
210104,1.1256711,1.1208774,1.1161731,1.1115615,1.1070299,1.1024479,1.0977272,1.0928297,1.0877713,1.0826104,1.0774188,1.0722098,1.0669947,1.0618398,1.0567558,1.0517215,1.0467274,1.0417787,1.0368818,1.0320429,大东区,2
210105,1.1042798,1.0979284,1.0916787,1.0855422,1.0795206,1.0735071,1.0674195,1.0611956,1.0548012,1.048237,1.041536,1.0347387,1.0279033,1.0211325,1.0144711,1.0079267,1.0014936,0.99516302,0.98892403,0.98276925,皇姑区,2
210106,1.1234635,1.1206275,1.1178616,1.115182,1.1125643,1.1098824,1.1069829,1.1037513,1.1001141,1.0960536,1.0916164,1.0868478,1.0818185,1.0766401,1.0713832,1.0660907,1.0607942,1.0555204,1.0502889,1.0451164,铁西区,2
210111,1.1816684,1.1807245,1.1798297,1.1789787,1.1781422,1.1772777,1.1763468,1.1753024,1.1740994,1.1726882,1.1710864,1.1693352,1.1674472,1.1654704,1.16343,1.1613468,1.1592419,1.1571392,1.1550487,1.1529812,苏家屯区,1
210112,1.241277,1.2402117,1.2392277,1.2383934,1.2377584,1.2373118,1.2370009,1.236733,1.2364225,1.2359742,1.2353665,1.2345884,1.2336273,1.2325202,1.2312806,1.2299203,1.2284596,1.2269367,1.2253883,1.2238452,浑南区,1
210113,1.1458088,1.1505835,1.1553174,1.1598983,1.1641806,1.1679729,1.1711342,1.1735686,1.1752641,1.1762508,1.1765972,1.1763582,1.1755852,1.1744177,1.1729754,1.1713642,1.1696792,1.167994,1.1663452,1.1647338,沈北新区,1
210114,1.2761642,1.2729589,1.2698263,1.2667478,1.2636808,1.2604898,1.2570407,1.2532529,1.2491094,1.2446345,1.2398888,1.2349249,1.2297665,1.2245061,1.219202,1.2138922,1.2086068,1.2033682,1.1981843,1.1930624,于洪区,1
210115,1.0906843,1.0869793,1.0833828,1.0799057,1.0765595,1.07333,1.070197,1.0671178,1.0640856,1.061093,1.0582057,1.0554996,1.0530111,1.0507752,1.0487859,1.0470017,1.045366,1.0438213,1.0423186,1.0408363,辽中区,2
210123,0.93602562,0.93846232,0.94083369,0.94299513,0.94485039,0.9463442,0.94739133,0.94794351,0.94799709,0.94756562,0.94672149,0.94554472,0.94407403,0.94237745,0.94055587,0.93869299,0.93684101,0.93503213,0.93327236,0.93154562,康平县,2
210124,0.94483489,0.94811136,0.95138103,0.95465279,0.95787168,0.96094424,0.96373641,0.96611458,0.967996,0.9692899,0.97000617,0.97020811,0.96992415,0.9692151,0.96814162,0.96678519,0.96523052,0.96355826,0.96183884,0.96012276,法库县,2
210181,0.95697427,0.95960492,0.96226114,0.96495491,0.96765089,0.97027433,0.97273844,0.97497839,0.97691458,0.97845399,0.97958332,0.98032659,0.98069775,0.98074943,0.98054403,0.98014379,0.97960657,0.9789809,0.97830951,0.9776237,新民市,2
210202,1.2470442,1.2395045,1.2320774,1.2247865,1.2176534,1.210663,1.2037969,1.1970444,1.190379,1.1838216,1.1774341,1.1712241,1.1652116,1.1594424,1.1539189,1.1486235,1.1435293,1.1386122,1.1338331,1.1291386,中山区,1
210203,1.1841877,1.1777163,1.1713727,1.1652147,1.1592841,1.1535068,1.147801,1.1421026,1.1363442,1.1304952,1.1245759,1.1186095,1.1126529,1.1068004,1.1010984,1.0955595,1.0901805,1.0849547,1.0798546,1.0748391,西岗区,2
210204,1.1276451,1.1205062,1.113489,1.1066366,1.0999771,1.0934619,1.0870044,1.0805577,1.0740508,1.067474,1.0608813,1.0543103,1.0478135,1.0414636,1.0352769,1.0292389,1.0233306,1.0175387,1.0118445,1.0062299,沙河口区,2
210211,1.3212951,1.317017,1.3128197,1.3086518,1.3044697,1.3001745,1.2956632,1.2908856,1.2857929,1.2804068,1.2747998,1.2690372,1.2631963,1.2573882,1.2516654,1.2460481,1.2405471,1.2351668,1.2298963,1.2247064,甘井子区,1
210212,1.1896021,1.1907313,1.1918468,1.1928551,1.1936226,1.1939914,1.1938201,1.1929896,1.1914312,1.1891383,1.1861696,1.1826262,1.1786226,1.174323,1.1698554,1.1653155,1.160767,1.1562514,1.1517919,1.1473875,旅顺口区,1
210213,1.2297179,1.2278594,1.22605,1.2242142,1.2223032,1.22022,1.2178466,1.2151014,1.2119136,1.2082763,1.2042273,1.1998165,1.1951116,1.1902308,1.1852536,1.1802349,1.1752219,1.1702536,1.1653465,1.1604995,金州区,1
210214,1.0794587,1.0781815,1.076921,1.0755922,1.0741142,1.0723737,1.070248,1.0676917,1.0646851,1.0612309,1.057362,1.0531327,1.0486246,1.0439175,1.0390755,1.03415,1.0291793,1.0241903,1.0192064,1.0142589,普兰店区,2
210224,1.0653158,1.0615987,1.0578904,1.0540072,1.0496945,1.044727,1.0389467,1.0322013,1.0244248,1.015681,1.0060873,0.9958818,0.98538363,0.9749459,0.96484166,0.95527118,0.9462921,0.93782139,0.92969763,0.92175609,长海县,3
210281,1.0348269,1.0353096,1.0358509,1.0364574,1.0370921,1.0376871,1.0381147,1.0383003,1.0382041,1.0378301,1.0372152,1.0363978,1.0354553,1.0344881,1.0335705,1.0327499,1.032058,1.0315001,1.0310493,1.0306435,瓦房店市,2
210283,1.035599,1.0321343,1.0287437,1.0254297,1.0222093,1.0190893,1.0160609,1.013122,1.0102615,1.0074773,1.0047563,1.0020472,0.99931318,0.99657065,0.99384183,0.99113119,0.98844481,0.98578566,0.98315239,0.98054618,庄河市,2
